PORT	LAST_CELL_TYPE	LAST_CELL_INSTANCE	STATUS
HN_VBN1[0]	CLKBUFX8AS9	C_72__IOBUF	OK
HN_VBN1[1]	CLKBUFX8AS9	C_71__IOBUF	OK
HN_VBN2[0]	CLKBUFX8AS9	C_74__IOBUF	OK
HN_VBN2[1]	CLKBUFX8AS9	C_73__IOBUF	OK
HN_VBP1[0]	CLKBUFX8AS9	C_76__IOBUF	OK
HN_VBP1[1]	CLKBUFX8AS9	C_75__IOBUF	OK
HN_VBP2[0]	CLKBUFX8AS9	C_78__IOBUF	OK
HN_VBP2[1]	CLKBUFX8AS9	C_77__IOBUF	OK
HP_VBN1[0]	CLKBUFX8AS9	C_80__IOBUF	OK
HP_VBN1[1]	CLKBUFX8AS9	C_79__IOBUF	OK
HP_VBN2[0]	CLKBUFX8AS9	C_82__IOBUF	OK
HP_VBN2[1]	CLKBUFX8AS9	C_81__IOBUF	OK
HP_VBP1[0]	CLKBUFX8AS9	C_84__IOBUF	OK
HP_VBP1[1]	CLKBUFX8AS9	C_83__IOBUF	OK
HP_VBP2[0]	CLKBUFX8AS9	C_86__IOBUF	OK
HP_VBP2[1]	CLKBUFX8AS9	C_85__IOBUF	OK
HSRE	CLKBUFX8AS9	C_394__IOBUF	OK
HSREF_N	CLKBUFX8AS9	C_398__IOBUF	OK
HSREF_P	CLKBUFX8AS9	C_396__IOBUF	OK
HSRER_N	CLKBUFX8AS9	C_397__IOBUF	OK
HSRER_P	CLKBUFX8AS9	C_395__IOBUF	OK
HSTR	CLKBUFX8AS9	C_399__IOBUF	OK
HVBP_SEPARATE	CLKBUFX8AS9	C_89__IOBUF	OK
I2C_SDA_OE	CLKBUFX8AS9	C_53__IOBUF	OK
IN_PD_ON_L	CLKBUFX8AS9	C_377__IOBUF	OK
IN_PD_ON_R	CLKBUFX8AS9	C_378__IOBUF	OK
LENB_L	CLKBUFX8AS9	C_379__IOBUF	OK
LENB_R	CLKBUFX8AS9	C_380__IOBUF	OK
LINK_ST_OE_L	CLKBUFX8AS9	C_385__IOBUF	OK
LINK_ST_OE_R	CLKBUFX8AS9	C_386__IOBUF	OK
LOD_EN_L	CLKBUFX8AS9	C_383__IOBUF	OK
LOD_EN_R	CLKBUFX8AS9	C_384__IOBUF	OK
LOD_L	CLKBUFX8AS9	C_381__IOBUF	OK
LOD_R	CLKBUFX8AS9	C_382__IOBUF	OK
MONO_E	CLKBUFX8AS9	C_239__IOBUF	OK
MON_DC_VOL[0]	CLKBUFX8AS9	C_389__IOBUF	OK
MON_DC_VOL[1]	CLKBUFX8AS9	C_388__IOBUF	OK
MON_DC_VOL[2]	CLKBUFX8AS9	C_387__IOBUF	OK
OVC_NEG[0]	CLKBUFX8AS9	C_393__IOBUF	OK
OVC_NEG[1]	CLKBUFX8AS9	C_392__IOBUF	OK
OVC_POS[0]	CLKBUFX8AS9	C_391__IOBUF	OK
OVC_POS[1]	CLKBUFX8AS9	C_390__IOBUF	OK
PD_GBIAS	CLKBUFX8AS9	C_401__IOBUF	OK
PD_GOP	CLKBUFX8AS9	C_402__IOBUF	OK
PGM_VGMA10[0]	CLKBUFX8AS9	C_174__IOBUF	OK
PGM_VGMA10[1]	CLKBUFX8AS9	C_173__IOBUF	OK
PGM_VGMA10[2]	CLKBUFX8AS9	C_172__IOBUF	OK
PGM_VGMA10[3]	CLKBUFX8AS9	C_171__IOBUF	OK
PGM_VGMA10[4]	CLKBUFX8AS9	C_170__IOBUF	OK
PGM_VGMA10[5]	CLKBUFX8AS9	C_169__IOBUF	OK
PGM_VGMA10[6]	CLKBUFX8AS9	C_168__IOBUF	OK
PGM_VGMA10[7]	CLKBUFX8AS9	C_167__IOBUF	OK
PGM_VGMA11[0]	CLKBUFX8AS9	C_182__IOBUF	OK
PGM_VGMA11[1]	CLKBUFX8AS9	C_181__IOBUF	OK
PGM_VGMA11[2]	CLKBUFX8AS9	C_180__IOBUF	OK
PGM_VGMA11[3]	CLKBUFX8AS9	C_179__IOBUF	OK
PGM_VGMA11[4]	CLKBUFX8AS9	C_178__IOBUF	OK
PGM_VGMA11[5]	CLKBUFX8AS9	C_177__IOBUF	OK
PGM_VGMA11[6]	CLKBUFX8AS9	C_176__IOBUF	OK
PGM_VGMA11[7]	CLKBUFX8AS9	C_175__IOBUF	OK
PGM_VGMA12[0]	CLKBUFX8AS9	C_190__IOBUF	OK
PGM_VGMA12[1]	CLKBUFX8AS9	C_189__IOBUF	OK
PGM_VGMA12[2]	CLKBUFX8AS9	C_188__IOBUF	OK
PGM_VGMA12[3]	CLKBUFX8AS9	C_187__IOBUF	OK
PGM_VGMA12[4]	CLKBUFX8AS9	C_186__IOBUF	OK
PGM_VGMA12[5]	CLKBUFX8AS9	C_185__IOBUF	OK
PGM_VGMA12[6]	CLKBUFX8AS9	C_184__IOBUF	OK
PGM_VGMA12[7]	CLKBUFX8AS9	C_183__IOBUF	OK
PGM_VGMA13[0]	CLKBUFX8AS9	C_198__IOBUF	OK
PGM_VGMA13[1]	CLKBUFX8AS9	C_197__IOBUF	OK
PGM_VGMA13[2]	CLKBUFX8AS9	C_196__IOBUF	OK
PGM_VGMA13[3]	CLKBUFX8AS9	C_195__IOBUF	OK
PGM_VGMA13[4]	CLKBUFX8AS9	C_194__IOBUF	OK
PGM_VGMA13[5]	CLKBUFX8AS9	C_193__IOBUF	OK
PGM_VGMA13[6]	CLKBUFX8AS9	C_192__IOBUF	OK
PGM_VGMA13[7]	CLKBUFX8AS9	C_191__IOBUF	OK
PGM_VGMA14[0]	CLKBUFX8AS9	C_206__IOBUF	OK
PGM_VGMA14[1]	CLKBUFX8AS9	C_205__IOBUF	OK
PGM_VGMA14[2]	CLKBUFX8AS9	C_204__IOBUF	OK
PGM_VGMA14[3]	CLKBUFX8AS9	C_203__IOBUF	OK
PGM_VGMA14[4]	CLKBUFX8AS9	C_202__IOBUF	OK
PGM_VGMA14[5]	CLKBUFX8AS9	C_201__IOBUF	OK
PGM_VGMA14[6]	CLKBUFX8AS9	C_200__IOBUF	OK
PGM_VGMA14[7]	CLKBUFX8AS9	C_199__IOBUF	OK
PGM_VGMA15[0]	CLKBUFX8AS9	C_214__IOBUF	OK
PGM_VGMA15[1]	CLKBUFX8AS9	C_213__IOBUF	OK
PGM_VGMA15[2]	CLKBUFX8AS9	C_212__IOBUF	OK
PGM_VGMA15[3]	CLKBUFX8AS9	C_211__IOBUF	OK
PGM_VGMA15[4]	CLKBUFX8AS9	C_210__IOBUF	OK
PGM_VGMA15[5]	CLKBUFX8AS9	C_209__IOBUF	OK
PGM_VGMA15[6]	CLKBUFX8AS9	C_208__IOBUF	OK
PGM_VGMA15[7]	CLKBUFX8AS9	C_207__IOBUF	OK
PGM_VGMA16[0]	CLKBUFX8AS9	C_222__IOBUF	OK
PGM_VGMA16[1]	CLKBUFX8AS9	C_221__IOBUF	OK
PGM_VGMA16[2]	CLKBUFX8AS9	C_220__IOBUF	OK
PGM_VGMA16[3]	CLKBUFX8AS9	C_219__IOBUF	OK
PGM_VGMA16[4]	CLKBUFX8AS9	C_218__IOBUF	OK
PGM_VGMA16[5]	CLKBUFX8AS9	C_217__IOBUF	OK
PGM_VGMA16[6]	CLKBUFX8AS9	C_216__IOBUF	OK
PGM_VGMA16[7]	CLKBUFX8AS9	C_215__IOBUF	OK
PGM_VGMA17[0]	CLKBUFX8AS9	C_230__IOBUF	OK
PGM_VGMA17[1]	CLKBUFX8AS9	C_229__IOBUF	OK
PGM_VGMA17[2]	CLKBUFX8AS9	C_228__IOBUF	OK
PGM_VGMA17[3]	CLKBUFX8AS9	C_227__IOBUF	OK
PGM_VGMA17[4]	CLKBUFX8AS9	C_226__IOBUF	OK
PGM_VGMA17[5]	CLKBUFX8AS9	C_225__IOBUF	OK
PGM_VGMA17[6]	CLKBUFX8AS9	C_224__IOBUF	OK
PGM_VGMA17[7]	CLKBUFX8AS9	C_223__IOBUF	OK
PGM_VGMA18[0]	CLKBUFX8AS9	C_238__IOBUF	OK
PGM_VGMA18[1]	CLKBUFX8AS9	C_237__IOBUF	OK
PGM_VGMA18[2]	CLKBUFX8AS9	C_236__IOBUF	OK
PGM_VGMA18[3]	CLKBUFX8AS9	C_235__IOBUF	OK
PGM_VGMA18[4]	CLKBUFX8AS9	C_234__IOBUF	OK
PGM_VGMA18[5]	CLKBUFX8AS9	C_233__IOBUF	OK
PGM_VGMA18[6]	CLKBUFX8AS9	C_232__IOBUF	OK
PGM_VGMA18[7]	CLKBUFX8AS9	C_231__IOBUF	OK
PGM_VGMA1[0]	CLKBUFX8AS9	C_102__IOBUF	OK
PGM_VGMA1[1]	CLKBUFX8AS9	C_101__IOBUF	OK
